iter	Passed	Remaining
422	1977	2697
423	1982	2692
424	1986	2687
425	1990	2682
426	1994	2676
427	1999	2671
428	2003	2666
429	2007	2660
430	2011	2655
431	2015	2649
432	2019	2644
433	2023	2639
434	2028	2634
435	2032	2628
436	2036	2623
437	2040	2618
438	2045	2613
439	2049	2608
440	2053	2603
441	2057	2598
442	2062	2592
443	2066	2587
444	2070	2582
445	2075	2577
446	2079	2572
447	2083	2567
448	2087	2561
449	2091	2556
450	2096	2551
451	2100	2546
452	2104	2541
453	2108	2535
454	2112	2530
455	2117	2526
456	2122	2522
457	2127	2517
458	2132	2513
459	2137	2508
460	2141	2503
461	2145	2498
462	2149	2493
463	2154	2488
464	2158	2483
465	2162	2478
466	2166	2472
467	2178	2476
468	2189	2478
469	2199	2480
470	2207	2479
471	2214	2477
472	2220	2474
473	2226	2470
474	2231	2466
475	2235	2461
476	2240	2456
477	2244	2451
478	2248	2446
479	2253	2441
480	2257	2435
481	2261	2430
482	2266	2425
483	2270	2420
484	2274	2415
485	2279	2410
486	2283	2405
487	2288	2400
488	2292	2395
489	2297	2390
490	2301	2385
491	2305	2380
492	2310	2375
493	2314	2370
494	2318	2365
495	2322	2360
496	2327	2355
497	2331	2350
498	2335	2344
499	2340	2340
500	2344	2335
501	2348	2329
502	2352	2324
503	2357	2319
504	2361	2314
505	2365	2309
506	2370	2304
507	2374	2299
508	2379	2295
509	2383	2290
510	2387	2285
511	2392	2279
512	2396	2275
513	2400	2270
514	2405	2265
515	2409	2260
516	2414	2255
517	2418	2250
518	2422	2245
519	2427	2240
520	2431	2235
521	2436	2230
522	2440	2225
523	2444	2220
524	2448	2215
525	2453	2210
526	2457	2205
527	2461	2200
528	2465	2195
529	2469	2190
530	2474	2185
531	2478	2180
532	2482	2175
533	2486	2170
534	2491	2165
535	2495	2160
536	2499	2155
537	2503	2150
538	2507	2144
539	2512	2139
540	2516	2135
541	2520	2129
542	2525	2125
543	2528	2119
544	2533	2114
545	2537	2109
546	2541	2104
547	2545	2099
548	2550	2094
549	2554	2090
550	2559	2085
551	2563	2080
552	2567	2075
553	2572	2070
554	2576	2065
555	2580	2060
556	2584	2055
557	2588	2050
558	2593	2045
559	2597	2040
560	2601	2035
561	2606	2031
562	2610	2026
563	2614	2021
564	2618	2016
565	2622	2011
566	2627	2006
567	2631	2001
568	2635	1996
569	2639	1991
570	2643	1986
571	2648	1981
572	2652	1976
573	2656	1971
574	2661	1967
575	2665	1962
576	2669	1957
577	2673	1952
578	2678	1947
579	2682	1942
580	2686	1937
581	2690	1932
582	2694	1927
583	2699	1922
584	2703	1917
585	2708	1913
586	2712	1908
587	2716	1903
588	2721	1898
589	2725	1894
590	2730	1889
591	2734	1884
592	2738	1879
593	2743	1875
594	2747	1870
595	2751	1865
596	2755	1860
597	2760	1855
598	2764	1850
599	2768	1845
600	2772	1840
601	2777	1836
602	2781	1831
603	2785	1826
604	2790	1821
605	2794	1816
606	2798	1812
607	2803	1807
608	2807	1802
609	2811	1797
610	2815	1792
611	2819	1787
612	2824	1782
613	2828	1778
614	2832	1773
615	2837	1768
616	2841	1763
617	2845	1758
618	2849	1754
619	2854	1749
620	2858	1744
621	2862	1739
622	2867	1734
623	2871	1730
624	2875	1725
625	2879	1720
626	2883	1715
627	2887	1710
628	2892	1705
629	2896	1701
630	2900	1696
631	2904	1691
632	2909	1686
633	2913	1681
634	2917	1677
635	2922	1672
636	2926	1667
637	2930	1662
638	2934	1657
639	2939	1653
640	2943	1648
641	2947	1643
642	2951	1638
643	2956	1634
644	2960	1629
