iter	RMSE
0	1.622978564
1	1.485711058
2	1.359405833
3	1.244943292
4	1.138763307
5	1.04250681
6	0.9540810438
7	0.8744790418
8	0.800827178
9	0.7332144475
10	0.6716557715
11	0.6147989314
12	0.5628289591
13	0.5157191592
14	0.472639854
15	0.4334208835
16	0.3977826289
17	0.3651212972
18	0.3353614014
19	0.3087760781
20	0.2841937027
21	0.2617133586
22	0.2411514991
23	0.2224964394
24	0.2057787169
25	0.1904334575
26	0.1765132394
27	0.1639087278
28	0.1526387241
29	0.142429312
30	0.1333026132
31	0.1253114255
32	0.1179320134
33	0.1110369612
34	0.104946297
35	0.0995120758
36	0.09469532252
37	0.09011500164
38	0.0861769383
39	0.08266012136
40	0.07950429405
41	0.07642011847
42	0.0737235261
43	0.07140355572
44	0.06918919797
45	0.06713190085
46	0.06532016851
47	0.06357582567
48	0.06224173533
49	0.06090911625
50	0.05943875638
51	0.05822275576
52	0.05729627086
53	0.05636779607
54	0.05555061244
55	0.05469283469
56	0.05412527647
57	0.05345058509
58	0.05288195394
59	0.05177206134
60	0.05053765432
61	0.05013065995
62	0.0493631835
63	0.04849080092
64	0.04774396381
65	0.04734482609
66	0.04694383078
67	0.04609074916
68	0.0456891265
69	0.04532504313
70	0.04469232898
71	0.04402998312
72	0.04376766616
73	0.04306607484
74	0.0427990141
75	0.04232716579
76	0.0420707375
77	0.04166451298
78	0.041499873
79	0.04128079421
80	0.04093957724
81	0.04020550344
82	0.04008820713
83	0.04000281756
84	0.03981226302
85	0.03966007539
86	0.0391623853
87	0.03907648838
88	0.03865170535
89	0.03848401621
90	0.03812886947
91	0.03805283303
92	0.03760090018
93	0.03743870959
94	0.03714719324
95	0.03699420761
96	0.03624592606
97	0.03613022463
98	0.03601226121
99	0.03591227049
100	0.03576687492
101	0.03512109341
102	0.03501878439
103	0.03486550897
104	0.03486455803
105	0.03432142633
106	0.0337483723
107	0.03366795419
108	0.03349309478
109	0.0333467756
110	0.0332942974
111	0.03310095179
112	0.03285916579
113	0.03251808797
114	0.032209326
115	0.03202133714
116	0.03194323871
117	0.03194259538
118	0.03160653488
119	0.03156661321
120	0.03144815021
121	0.03110451385
122	0.03098973597
123	0.03092120245
124	0.03046986446
125	0.03008644122
126	0.02999790728
127	0.02983267068
128	0.02971899102
129	0.02948446221
130	0.02940629373
131	0.02920737611
132	0.02913467815
133	0.02894950088
134	0.02885651672
135	0.02880903542
136	0.02875049551
137	0.02819657725
138	0.02801153186
139	0.02792793484
140	0.02771126203
141	0.02755722604
142	0.02747720987
143	0.02720318323
144	0.0269713006
145	0.02681677158
146	0.02676913912
147	0.02651052332
148	0.02644717577
149	0.0262940409
150	0.02611046194
151	0.02603565559
152	0.02597288808
153	0.02593749178
154	0.02587254442
155	0.0256199569
156	0.0255464359
157	0.02543910196
158	0.02538821916
159	0.02535165253
160	0.02524051037
161	0.02516934313
162	0.02512699614
163	0.02509094646
164	0.02505459576
165	0.02502386358
166	0.02496035384
167	0.02490858833
168	0.0248418384
169	0.02422400771
170	0.02419553559
171	0.02416205005
172	0.02401056596
173	0.02398225447
174	0.02365950754
175	0.02363133103
176	0.02346624149
177	0.02319143827
178	0.02314720005
179	0.02302831892
180	0.02297829248
181	0.02295057987
182	0.02281460835
183	0.02278927673
184	0.02276361281
185	0.02272314686
186	0.02230358486
187	0.02208156474
188	0.02203868508
189	0.02200063513
190	0.02195798583
191	0.02191481298
192	0.02189349165
193	0.02186448491
194	0.02176462618
195	0.02173327426
196	0.02165653009
197	0.02162416086
198	0.02156570755
199	0.02142837726
200	0.02139510389
201	0.02103434836
202	0.02098850022
203	0.02092016813
204	0.02089621886
205	0.02075307403
206	0.02072328213
207	0.02070129855
208	0.02058480474
209	0.02054384583
210	0.02023825982
211	0.02021404803
212	0.02013723538
213	0.02007137127
214	0.01998625514
215	0.01993371508
216	0.01991887061
217	0.01988680689
218	0.01979526943
219	0.01974935583
220	0.01971400464
221	0.01969449117
222	0.01965657206
223	0.01957245419
224	0.01955034931
225	0.01939835507
226	0.01930755097
227	0.01927073076
228	0.01926077039
229	0.01923343417
230	0.0192008152
231	0.01917258293
232	0.019160451
233	0.01914727304
234	0.01912729946
235	0.01885890971
236	0.01884330391
237	0.01882870688
238	0.01880487092
239	0.01878304974
240	0.0184591051
241	0.01834529854
242	0.01833974697
243	0.01828106565
244	0.01825679772
245	0.01822099701
246	0.01812466552
247	0.01808341194
248	0.01805534256
249	0.01777093541
250	0.01775854796
251	0.01774187286
252	0.01756394914
253	0.01755331936
254	0.01751660994
255	0.01742837247
256	0.01741649826
257	0.01738009868
258	0.01735819709
259	0.01724000136
260	0.01708362256
261	0.01707629015
262	0.01703873171
263	0.01702375678
264	0.01694953363
265	0.01694242711
266	0.01689692709
267	0.0168567182
268	0.01684121285
269	0.01683348617
270	0.01680221359
271	0.01677875542
272	0.01664182541
273	0.01661389343
274	0.01659325721
275	0.016522938
276	0.01651270903
277	0.0165057179
278	0.01645563041
279	0.01641495659
280	0.01640008825
281	0.01626406668
282	0.01625165141
283	0.01619328464
284	0.01618708144
285	0.01610404439
286	0.0160294683
287	0.01602060162
288	0.01600093488
289	0.01588914263
290	0.01583869931
291	0.01576661246
292	0.01570727216
293	0.01559710394
294	0.01558330529
295	0.01557936492
296	0.01555427556
297	0.01555031048
298	0.01554384552
299	0.01554142771
300	0.01549072742
301	0.01542633089
302	0.01527520696
303	0.01526994036
304	0.01522320491
305	0.01521498311
306	0.01520430673
307	0.01519413866
308	0.01508473741
309	0.01504202772
310	0.01501913163
311	0.01500788525
312	0.01496834563
313	0.01494777872
314	0.01490964725
315	0.01485285636
316	0.01483671755
317	0.01478844617
318	0.01469484602
319	0.01468966235
320	0.01467747594
321	0.01466846636
322	0.01464974674
323	0.01456744022
324	0.01455849701
325	0.01454845201
326	0.01453477555
327	0.01452015609
328	0.01448669294
329	0.01447610757
330	0.0144589692
331	0.01445171713
332	0.01444779393
333	0.01444160758
334	0.01442619805
335	0.01434823857
336	0.01433264204
337	0.01432104374
338	0.01431287497
339	0.01430609328
340	0.01430045654
341	0.01429777351
342	0.01429309471
343	0.01422889761
344	0.0141827986
345	0.01412556437
346	0.01411531549
347	0.01409986725
348	0.01409665542
349	0.01406722013
350	0.01406314448
351	0.01402658892
352	0.01396738106
353	0.01395535059
