Nodes,Radius,packet_sent,Packet_received,SF7,SF8,SF9,SF10,SF11,SF12,Actual PDR,Total Packets Lost
1,6400,1,1,0,0,0,0,0,0,1,0
2,6400,2,2,0,0,0,0,0,0,1,0
3,6400,3,3,0,0,0,0,0,0,1,0
4,6400,4,4,0,0,0,0,0,0,1,0
5,6400,5,5,0,0,0,0,0,0,1,0
6,6400,6,6,0,0,0,0,0,0,1,0
7,6400,7,7,0,0,0,0,0,0,1,0
8,6400,8,8,0,0,0,0,0,0,1,0
9,6400,9,9,0,0,0,0,0,0,1,0
